frame,class,confidence,x1,y1,x2,y2
0,weed,0.8402,191,485,375,610
1,weed,0.8382,196,484,375,619
2,weed,0.8570,195,482,374,615
3,weed,0.8578,193,481,374,610
4,weed,0.8450,186,484,372,610
5,weed,0.8575,185,483,372,609
6,weed,0.8633,189,484,371,609
7,weed,0.8592,183,484,370,607
8,weed,0.8528,190,486,369,610
9,weed,0.8348,191,482,369,613
10,weed,0.8472,191,485,368,610
11,weed,0.8434,190,485,368,611
12,weed,0.8438,190,485,368,611
13,weed,0.8504,190,484,368,609
14,weed,0.8569,191,484,368,612
15,weed,0.8536,186,483,367,612
16,weed,0.8522,178,482,367,613
17,weed,0.8601,183,483,366,612
18,weed,0.8542,175,484,365,611
19,weed,0.8564,183,483,365,608
20,weed,0.8560,184,482,365,609
21,weed,0.8597,175,482,365,614
22,weed,0.8533,171,482,365,636
23,weed,0.8537,184,482,365,638
24,weed,0.8482,186,483,364,642
25,weed,0.8618,184,482,364,647
26,weed,0.8548,184,481,364,644
27,weed,0.8466,187,481,362,634
28,weed,0.8552,184,481,361,622
29,weed,0.8372,175,481,361,629
30,weed,0.8477,175,481,361,642
31,weed,0.8545,177,483,361,636
32,weed,0.8543,173,482,360,635
33,weed,0.8500,172,483,359,620
34,weed,0.8385,173,483,357,626
35,weed,0.8432,173,482,357,637
36,weed,0.8445,176,482,356,633
37,weed,0.8390,177,481,357,621
38,weed,0.8370,177,481,357,626
39,weed,0.8287,175,481,357,636
40,weed,0.8570,173,479,358,644
41,weed,0.8636,175,478,358,647
42,weed,0.8588,175,480,358,646
43,weed,0.8569,176,480,358,644
44,weed,0.8543,176,481,357,643
45,weed,0.8392,178,482,356,630
46,weed,0.8325,177,482,356,624
47,weed,0.8304,180,481,356,627
48,weed,0.8340,179,481,356,625
49,weed,0.8308,177,482,355,630
50,weed,0.8279,177,481,355,633
51,weed,0.8317,177,481,355,637
52,weed,0.8314,178,480,355,639
53,weed,0.8327,178,480,354,641
54,weed,0.8349,178,481,354,638
55,weed,0.8373,177,480,356,638
56,weed,0.8422,176,480,356,634
57,weed,0.8403,176,481,356,634
58,weed,0.8404,176,481,356,633
59,weed,0.8407,176,481,356,633
60,weed,0.8396,176,481,356,632
61,weed,0.8398,177,481,356,631
62,weed,0.8412,179,481,355,629
63,weed,0.8395,177,481,355,630
64,weed,0.8441,178,481,355,631
65,weed,0.8452,178,482,355,632
66,weed,0.8435,178,482,355,629
67,weed,0.8430,179,482,354,628
68,weed,0.8442,179,482,354,626
69,weed,0.8421,177,481,355,630
70,weed,0.8417,177,481,355,631
71,weed,0.8418,177,481,355,631
72,weed,0.8417,177,481,355,631
73,weed,0.8418,177,481,355,631
74,weed,0.8418,177,481,355,631
75,weed,0.8417,177,481,355,631
76,weed,0.8418,177,481,355,631
77,weed,0.8419,177,481,355,631
78,weed,0.8422,177,481,355,631
